id,month,bank_name,no_of_transactions,amt_of_transactions,no_of_active_costumers
3758,01-09-2016,Greater Bombay Co-operative Bank,12043,986.34,
3759,01-09-2016,HDFC Bank,19689992,1221408.89,
3760,01-09-2016,HSBC,9621,4267.47,
3761,01-09-2016,ICICI Bank,10183456,1756149.31,
3762,01-09-2016,IDBI Bank,36926,1658.11,
3763,01-09-2016,Indian Bank,617990,30736.92,
3764,01-09-2016,Indian Overseas Bank,289082,37804.75,
3765,01-09-2016,IndusInd Bank,1091547,122159.15,
3766,01-09-2016,Jammu and Kashmir Bank,0,0,
3767,01-09-2016,Janta Co-operative Bank Pune,1016,98.41,
3768,01-09-2016,JP Morgan Chase Bank,40,289.67,
3769,01-09-2016,Karnataka Bank,85159,6713.4,
3770,01-09-2016,Karur Vysya Bank,335512,37716.71,
3771,01-09-2016,Kerala Gramin Bank,18371,1414.13,
3772,01-09-2016,Kotak Mahindra Bank,2836402,358381.22,
3773,01-09-2016,Lakshmi Vilas Bank,61019,4757.65,
3774,01-09-2016,Mehsana Urban Co-operative Bank,663,95.76,
3775,01-09-2016,Nainital Bank,74,2.49,
3776,01-09-2016,NKGSB Co-operative Bank,3385,272.44,
3777,01-09-2016,Oriental Bank of Commerce,14879,1174.73,
3778,01-09-2016,Pallavan Grama Bank,1743,2.43,
3779,01-09-2016,Pragathi Krishna Gramin Bank,12430,975.74,
3780,01-09-2016,Punjab and Maharashtra Co-operative Bank,35806,2779.98,
3781,01-09-2016,Punjab and Sindh Bank,10693,43087.11,
3782,01-09-2016,Punjab National Bank,330411,45702.84,
3783,01-09-2016,Rajaram Bapu Co-operative Bank,223,6.63,
3784,01-09-2016,RBL Bank,40491,3811.88,
3785,01-09-2016,Royal Bank of Scotland N.V.,3,0.14,
3786,01-09-2016,Saraswat Co-operative Bank,49294,3381.17,
3787,01-09-2016,South Indian Bank,302479,12255.36,
3788,01-09-2016,Standard Chartered Bank,0,0,
3789,01-09-2016,State Bank of Bikaner and Jaipur,126102,2471.38,
3790,01-09-2016,State Bank of Hyderabad,226188,4760.93,
3791,01-09-2016,State Bank of India,18870463,5403640.6,
3792,01-09-2016,State Bank of Mysore,57896,1392.78,
3793,01-09-2016,State Bank of Patiala,8987,201.82,
3794,01-09-2016,State Bank of Travancore,81493,1855.96,
3795,01-09-2016,Syndicate Bank,283550,11961.05,
3796,01-09-2016,Tamilnad Mercantile Bank,44301,2125.13,
3797,01-09-2016,Thane Janata Co-operative Bank,19620,2129.71,
3798,01-09-2016,Cosmos Co-operative Bank,6548,488.98,
3799,01-09-2016,UCO Bank,374386,20227.52,
3800,01-09-2016,Union Bank of India,766189,49289.67,
3801,01-09-2016,United Bank of India,173598,8401.28,
3802,01-09-2016,Vijaya Bank,460559,20106.84,
3803,01-09-2016,Yes Bank,919394,43347.9,
3804,01-10-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1894,365.2,
3805,01-10-2016,Allahabad Bank,222019,10898.05,
3806,01-10-2016,Andhra Bank,230041,14620.94,
3807,01-10-2016,Axis Bank,9199760,881259.31,
3808,01-10-2016,Bandhan Bank,12142,1249.47,
3809,01-10-2016,Bank of Baroda,1313579,59681.51,
3810,01-10-2016,Bank of India,16020,1072.25,
3811,01-10-2016,Bank of Maharashtra,91799,10981.15,
3812,01-10-2016,Bassein Catholic Co-operative Bank,1782,508.94,
3813,01-10-2016,Canara Bank,1710876,111113.61,
3814,01-10-2016,Catholic Syrian Bank,5204,439.19,
3815,01-10-2016,Central Bank of India,223242,6373.15,
3816,01-10-2016,Citi Bank,740902,112342.02,
3817,01-10-2016,City Union Bank,188874,13819.23,
3818,01-10-2016,Corporation Bank,106848,9866.97,
3819,01-10-2016,DBS Bank India,173214,7783.21,
3820,01-10-2016,Dena Bank,14010,1167.49,
3821,01-10-2016,Development Credit Bank,27811,2615.03,
3822,01-10-2016,Dhanlaxmi Bank,7856,402.79,
3823,01-10-2016,Dombivli Nagrik Co-operative Bank,7160,533.94,
3824,01-10-2016,Federal Bank,732497,44065.56,
3825,01-10-2016,Greater Bombay Co-operative Bank,13548,1261.25,
3826,01-10-2016,HDFC Bank,22847490,1535286.24,
3827,01-10-2016,HSBC,11462,4794.42,
3828,01-10-2016,ICICI Bank,11485137,2038547.36,
3829,01-10-2016,IDBI Bank,42151,2007.39,
3830,01-10-2016,Indian Bank,614225,31738.96,
3831,01-10-2016,Indian Overseas Bank,332965,44915.45,
3832,01-10-2016,IndusInd Bank,1302424,154190.98,
3833,01-10-2016,Jammu and Kashmir Bank,0,0,
3834,01-10-2016,Janta Co-operative Bank Pune,1134,105.47,
3835,01-10-2016,JP Morgan Chase Bank,76,636.13,
3836,01-10-2016,Karnataka Bank,92567,7937.99,
3837,01-10-2016,Karur Vysya Bank,379883,43860.35,
3838,01-10-2016,Kerala Gramin Bank,20128,1650.85,
3839,01-10-2016,Kotak Mahindra Bank,3173335,408166.93,
3840,01-10-2016,Lakshmi Vilas Bank,65732,5611.32,
3841,01-10-2016,Mehsana Urban Co-operative Bank,695,97.78,
3842,01-10-2016,Nainital Bank,113,3.56,
3843,01-10-2016,NKGSB Co-operative Bank,4443,374.12,
3844,01-10-2016,Oriental Bank of Commerce,19061,1952.6,
3845,01-10-2016,Pallavan Grama Bank,839,2.02,
3846,01-10-2016,Pragathi Krishna Gramin Bank,12528,769.02,
3847,01-10-2016,Punjab and Maharashtra Co-operative Bank,41678,3296.11,
3848,01-10-2016,Punjab and Sindh Bank,10020,42239.37,
3849,01-10-2016,Punjab National Bank,482859,78003.3,
3850,01-10-2016,Rajaram Bapu Co-operative Bank,239,20.95,
3851,01-10-2016,RBL Bank,45778,4415.75,
3852,01-10-2016,Royal Bank of Scotland N.V.,0,0,
3853,01-10-2016,Saraswat Co-operative Bank,61063,4035.01,
3854,01-10-2016,South Indian Bank,314850,14480.48,
3855,01-10-2016,Standard Chartered Bank,0,0,
3856,01-10-2016,State Bank of Bikaner and Jaipur,134936,2603.02,
3857,01-10-2016,State Bank of Hyderabad,238122,5272.07,
3858,01-10-2016,State Bank of India,17916734,5483713.35,
3859,01-10-2016,State Bank of Mysore,59914,1473.75,
3860,01-10-2016,State Bank of Patiala,9364,256.62,
3861,01-10-2016,State Bank of Travancore,97713,2095.41,
3862,01-10-2016,Syndicate Bank,307208,13581.75,
3863,01-10-2016,Tamilnad Mercantile Bank,50878,2473.46,
3864,01-10-2016,Thane Janata Co-operative Bank,22327,2511.45,
3865,01-10-2016,Cosmos Co-operative Bank,7869,612.22,
3866,01-10-2016,UCO Bank,403631,22967.4,
3867,01-10-2016,Union Bank of India,833658,55199.69,
3868,01-10-2016,United Bank of India,178326,9229.16,
3869,01-10-2016,Vijaya Bank,476484,21825.28,
3870,01-10-2016,Yes Bank,977766,48675.79,
3871,01-11-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,1864,339.75,
3872,01-11-2016,Allahabad Bank,252877,14731.88,
3873,01-11-2016,Andhra Bank,354924,19288.28,
3874,01-11-2016,Axis Bank,9837562,921918.65,
3875,01-11-2016,Bandhan Bank,12549,1725.62,
3876,01-11-2016,Bank of Baroda,1395242,65561.8,
3877,01-11-2016,Bank of India,14031,977.41,
3878,01-11-2016,Bank of Maharashtra,98714,11174,
3879,01-11-2016,Bassein Catholic Co-operative Bank,1966,468.06,
3880,01-11-2016,Canara Bank,1845719,131222.56,
3881,01-11-2016,Catholic Syrian Bank,5741,504.16,
3882,01-11-2016,Central Bank of India,246073,7882.92,
3883,01-11-2016,Citi Bank,730544,103151.52,
3884,01-11-2016,City Union Bank,176609,12525.58,
3885,01-11-2016,Corporation Bank,112574,11002.6,
3886,01-11-2016,DBS Bank India,291328,11913.56,
3887,01-11-2016,Dena Bank,16004,1395.43,
3888,01-11-2016,Development Credit Bank,37772,4532.29,
3889,01-11-2016,Dhanlaxmi Bank,9788,592.86,
3890,01-11-2016,Dombivli Nagrik Co-operative Bank,8869,569.08,
3891,01-11-2016,Federal Bank,887211,54590.51,
3892,01-11-2016,Greater Bombay Co-operative Bank,17322,1251.45,
3893,01-11-2016,HDFC Bank,24135339,1464594.88,
3894,01-11-2016,HSBC,11788,4318.56,
3895,01-11-2016,ICICI Bank,13299846,2319702.79,
3896,01-11-2016,IDBI Bank,46568,1136.87,
3897,01-11-2016,Indian Bank,760104,42492.37,
3898,01-11-2016,Indian Overseas Bank,398421,51799.67,
3899,01-11-2016,IndusInd Bank,1570775,236607.85,
3900,01-11-2016,Jammu and Kashmir Bank,0,0,
3901,01-11-2016,Janta Co-operative Bank Pune,1099,90.42,
3902,01-11-2016,JP Morgan Chase Bank,103,169.17,
3903,01-11-2016,Karnataka Bank,104319,7179.81,
3904,01-11-2016,Karur Vysya Bank,442759,47701.59,
3905,01-11-2016,Kerala Gramin Bank,27523,2399.71,
3906,01-11-2016,Kotak Mahindra Bank,3587965,414795.47,
3907,01-11-2016,Lakshmi Vilas Bank,100753,8848.54,
3908,01-11-2016,Mehsana Urban Co-operative Bank,489,70.42,
3909,01-11-2016,Nainital Bank,73,2.43,
3910,01-11-2016,NKGSB Co-operative Bank,6433,475.42,
3911,01-11-2016,Oriental Bank of Commerce,20533,1828.12,
3912,01-11-2016,Pallavan Grama Bank,1095,1.64,
3913,01-11-2016,Pragathi Krishna Gramin Bank,14643,1232.91,
3914,01-11-2016,Punjab and Maharashtra Co-operative Bank,46913,3629.12,
3915,01-11-2016,Punjab and Sindh Bank,65805,3661.67,
3916,01-11-2016,Punjab National Bank,534742,86409.06,
3917,01-11-2016,Rajaram Bapu Co-operative Bank,389,33.24,
3918,01-11-2016,RBL Bank,58466,6079.76,
3919,01-11-2016,Royal Bank of Scotland N.V.,0,0,
3920,01-11-2016,Saraswat Co-operative Bank,95588,6249.43,
3921,01-11-2016,South Indian Bank,373131,18361.46,
3922,01-11-2016,Standard Chartered Bank,0,0,
3923,01-11-2016,State Bank of Bikaner and Jaipur,144743,2781.48,
3924,01-11-2016,State Bank of Hyderabad,278086,7260.18,
3925,01-11-2016,State Bank of India,21485558,7327514,
3926,01-11-2016,State Bank of Mysore,67006,1940.17,
3927,01-11-2016,State Bank of Patiala,10306,280.99,
3928,01-11-2016,State Bank of Travancore,114909,3081.61,
3929,01-11-2016,Syndicate Bank,364235,17430.62,
3930,01-11-2016,Tamilnad Mercantile Bank,69676,3763.07,
3931,01-11-2016,Thane Janata Co-operative Bank,26016,2552.14,
3932,01-11-2016,Cosmos Co-operative Bank,7812,622.48,
3933,01-11-2016,UCO Bank,444003,26397.41,
3934,01-11-2016,Union Bank of India,932883,75936.52,
3935,01-11-2016,United Bank of India,190832,10688.45,
3936,01-11-2016,Vijaya Bank,577366,30550.93,
3937,01-11-2016,Yes Bank,698712,39011,
3938,01-12-2016,Andhra Pradesh Mahesh Co-operative Urban Bank,2048,375.33,
3939,01-12-2016,Allahabad Bank,321091,20448.08,
3940,01-12-2016,Andhra Bank,561393,34088.86,
3941,01-12-2016,Axis Bank,12282565,1176509.09,
3942,01-12-2016,Banaskantha District Central Co-operative Bank,549,33.78,
3943,01-12-2016,Bandhan Bank,16597,2060.57,
3944,01-12-2016,Bank of Baroda,1552160,77174.3,
3945,01-12-2016,Bank of India,19064,1247.08,
3946,01-12-2016,Bank of Maharashtra,184769,16639,
3947,01-12-2016,Bassein Catholic Co-operative Bank,2283,491.02,
3948,01-12-2016,Canara Bank,2962185,204814,
3949,01-12-2016,Catholic Syrian Bank,6462,555.81,
3950,01-12-2016,Central Bank of India,341837,12891.2,
3951,01-12-2016,Citi Bank,971371,131530.61,
3952,01-12-2016,City Union Bank,260195,17257.25,
3953,01-12-2016,Corporation Bank,174520,17014.79,
3954,01-12-2016,DBS Bank India,421027,16364.25,
3955,01-12-2016,Dena Bank,22268,1496.18,
3956,01-12-2016,Development Credit Bank,57091,6483.88,
3957,01-12-2016,Dhanlaxmi Bank,14302,995.42,
3958,01-12-2016,Dombivli Nagrik Co-operative Bank,15180,807.34,
3959,01-12-2016,Federal Bank,1273540,78720.17,
3960,01-12-2016,Greater Bombay Co-operative Bank,26093,1773.76,
3961,01-12-2016,HDFC Bank,28568379,1500560.62,
3962,01-12-2016,HSBC,13989,5810.64,
3963,01-12-2016,ICICI Bank,17415898,2721669.52,
3964,01-12-2016,IDBI Bank,56621,2858.18,
3965,01-12-2016,Indian Bank,937134,48841.99,
3966,01-12-2016,Indian Overseas Bank,473668,57735.33,
3967,01-12-2016,IndusInd Bank,2030861,269664.9,
3968,01-12-2016,Jammu and Kashmir Bank,0,0,
3969,01-12-2016,Janta Co-operative Bank Pune,2201,151.03,
3970,01-12-2016,JP Morgan Chase Bank,33,160.37,
3971,01-12-2016,Karnataka Bank,299964,23913.75,
3972,01-12-2016,Karur Vysya Bank,602013,62585.94,
3973,01-12-2016,Kerala Gramin Bank,46533,4424.87,
3974,01-12-2016,Kotak Mahindra Bank,4390367,486873.79,
3975,01-12-2016,Lakshmi Vilas Bank,154313,12126.56,
3976,01-12-2016,Mehsana Urban Co-operative Bank,1118,222.17,
3977,01-12-2016,Nainital Bank,88,2.58,
3978,01-12-2016,NKGSB Co-operative Bank,13552,915.37,
3979,01-12-2016,Oriental Bank of Commerce,58753,4293.5,
3980,01-12-2016,Pallavan Grama Bank,1049,1.61,
3981,01-12-2016,Pragathi Krishna Gramin Bank,23616,1981.77,
3982,01-12-2016,Priyadarshani Nagari Co-operative Bank Jalna,10,0.04,
3983,01-12-2016,Punjab and Maharashtra Co-operative Bank,74453,5307.77,
3984,01-12-2016,Punjab and Sindh Bank,120969,7132.88,
3985,01-12-2016,Punjab National Bank,527730,54810.5,
3986,01-12-2016,Rajaram Bapu Co-operative Bank,925,80.34,
3987,01-12-2016,RBL Bank,82776,7837.13,
3988,01-12-2016,Royal Bank of Scotland N.V.,0,0,
3989,01-12-2016,Saraswat Co-operative Bank,110410,6061.95,
3990,01-12-2016,South Indian Bank,486725,27003.96,
3991,01-12-2016,Standard Chartered Bank,0,0,
3992,01-12-2016,State Bank of Bikaner and Jaipur,191691,5549.59,
3993,01-12-2016,State Bank of Hyderabad,416736,14436.56,
3994,01-12-2016,State Bank of India,27633131,7561914.53,
3995,01-12-2016,State Bank of Mysore,94413,3325.6,
3996,01-12-2016,State Bank of Patiala,14965,520.25,
3997,01-12-2016,State Bank of Travancore,168308,5602.33,
3998,01-12-2016,Syndicate Bank,562449,28726.56,
3999,01-12-2016,Tamilnad Mercantile Bank,101505,6027.24,
4000,01-12-2016,Thane Janata Co-operative Bank,44236,3580.23,
4001,01-12-2016,Ajara Urban Co-operative Bank,2,0,
4002,01-12-2016,Cosmos Co-operative Bank,13363,1013.85,
4003,01-12-2016,Tumkur Grain Merchants Co-operative Bank,142,11.23,
4004,01-12-2016,UCO Bank,612019,36518.97,
4005,01-12-2016,Union Bank of India,1119818,79612.28,
4006,01-12-2016,United Bank of India,232085,13377.79,
4007,01-12-2016,Vijaya Bank,749673,42932.15,
4008,01-12-2016,Yes Bank,700007,45875.47,
4009,01-01-2017,Andhra Pradesh Mahesh Co-operative Urban Bank,2255,428.7,
4010,01-01-2017,Allahabad Bank,339479,25718.65,
4011,01-01-2017,Andhra Bank,624279,48992.15,
4012,01-01-2017,Axis Bank,11630395,1238329.86,
4013,01-01-2017,Banaskantha District Central Co-operative Bank,747,99.59,
4014,01-01-2017,Bandhan Bank,20993,2943.99,
4015,01-01-2017,Bank of Baroda,1502563,79702.59,
4016,01-01-2017,Bank of India,9853,624.98,
4017,01-01-2017,Bank of Maharashtra,144397,15343,
4018,01-01-2017,Bassein Catholic Co-operative Bank,2324,569.05,
4019,01-01-2017,Canara Bank,3203370,235427.16,
4020,01-01-2017,Catholic Syrian Bank,5004,379.97,
4021,01-01-2017,Central Bank of India,429582,17538.59,
4022,01-01-2017,Citi Bank,894623,128205.69,
4023,01-01-2017,City Union Bank,278305,19432,
4024,01-01-2017,Corporation Bank,195970,21440.22,
4025,01-01-2017,DBS Bank India,530562,17581.88,
4026,01-01-2017,Dena Bank,23349,1496.76,
4027,01-01-2017,Development Credit Bank,59851,7098.9,
4028,01-01-2017,Dhanlaxmi Bank,14197,872.18,
4029,01-01-2017,Dombivli Nagrik Co-operative Bank,19226,1080.77,
4030,01-01-2017,Federal Bank,1313103,93022.6,
4031,01-01-2017,Greater Bombay Co-operative Bank,27452,1988.98,
4032,01-01-2017,HDFC Bank,28007193,1578005.56,
4033,01-01-2017,HSBC,12993,4968.5,
4034,01-01-2017,ICICI Bank,15964873,2986332.8,
4035,01-01-2017,IDBI Bank,50331,2606.43,
4036,01-01-2017,Indian Bank,1174957,71060.04,
4037,01-01-2017,Indian Overseas Bank,500576,63902.6,
4038,01-01-2017,IndusInd Bank,2197438,285128.56,
4039,01-01-2017,Jammu and Kashmir Bank,152846,3188.8,
4040,01-01-2017,Janta Co-operative Bank Pune,2186,175.09,
4041,01-01-2017,JP Morgan Chase Bank,20,1016.26,
4042,01-01-2017,Karnataka Bank,408135,38162.73,
4043,01-01-2017,Karur Vysya Bank,675827,80415.89,
4044,01-01-2017,Kerala Gramin Bank,34112,4418.37,
4045,01-01-2017,Kotak Mahindra Bank,4461540,544854.25,
4046,01-01-2017,Lakshmi Vilas Bank,143919,11501.4,
4047,01-01-2017,Mehsana Urban Co-operative Bank,1496,318.09,
4048,01-01-2017,Nainital Bank,81,1.88,
4049,01-01-2017,NKGSB Co-operative Bank,1186,101.52,
4050,01-01-2017,Oriental Bank of Commerce,65272,5543.37,
4051,01-01-2017,Pallavan Grama Bank,900,2.51,
4052,01-01-2017,Pragathi Krishna Gramin Bank,30673,2958.07,
4053,01-01-2017,Priyadarshani Nagari Co-operative Bank Jalna,25,0.25,
4054,01-01-2017,Punjab and Maharashtra Co-operative Bank,71063,5436.02,
4055,01-01-2017,Punjab and Sindh Bank,146928,8716.44,
4056,01-01-2017,Punjab National Bank,795414,87799.86,
4057,01-01-2017,Rajaram Bapu Co-operative Bank,1259,129.98,
4058,01-01-2017,RBL Bank,90298,11534.36,
4059,01-01-2017,Royal Bank of Scotland N.V.,0,0,
4060,01-01-2017,Saraswat Co-operative Bank,134985,7835.71,
4061,01-01-2017,Sardar Bhiladwala Pardi Peoples Co-operative Bank,8,0,
4062,01-01-2017,South Indian Bank,489913,33520.83,
4063,01-01-2017,Standard Chartered Bank,0,0,
4064,01-01-2017,State Bank of Bikaner and Jaipur,177894,5907.66,
4065,01-01-2017,State Bank of Hyderabad,430252,17364,
4066,01-01-2017,State Bank of India,23888819,5699832.67,
4067,01-01-2017,State Bank of Mysore,108096,4438.99,
4068,01-01-2017,State Bank of Patiala,13548,542.77,
4069,01-01-2017,State Bank of Travancore,169084,6156.38,
4070,01-01-2017,Syndicate Bank,700010,39725.79,
4071,01-01-2017,Tamilnad Mercantile Bank,130985,8250.81,
4072,01-01-2017,Thane Janata Co-operative Bank,45963,4077.72,
4073,01-01-2017,Ajara Urban Co-operative Bank,2,0,
4074,01-01-2017,Cosmos Co-operative Bank,16180,1369.01,
4075,01-01-2017,Tumkur Grain Merchants Co-operative Bank,577,172.82,
4076,01-01-2017,UCO Bank,584398,40328.56,
4077,01-01-2017,Union Bank of India,985837,75880.54,
4078,01-01-2017,United Bank of India,252090,14839.15,
4079,01-01-2017,Vijaya Bank,870021,53001.57,
4080,01-01-2017,Yes Bank,865597,60694.21,
4081,01-02-2017,Andhra Pradesh Mahesh Co-operative Urban Bank,2440,507.38,
4082,01-02-2017,Allahabad Bank,305140,24034.36,
4083,01-02-2017,Andhra Bank,566160,47234.04,
4084,01-02-2017,Axis Bank,10509182,1147139.22,
4085,01-02-2017,Banaskantha District Central Co-operative Bank,633,152.34,
4086,01-02-2017,Bandhan Bank,22098,3580.6,
4087,01-02-2017,Bank of Baroda,1962229,101156.01,
4088,01-02-2017,Bank of India,12030,793.96,
4089,01-02-2017,Bank of Maharashtra,124794,14159.24,
4090,01-02-2017,Bassein Catholic Co-operative Bank,2111,595.92,
4091,01-02-2017,Bhagini Nivedita Co-operative Bank,196,2.99,
4092,01-02-2017,Canara Bank,2849876,211792.57,
4093,01-02-2017,Catholic Syrian Bank,6950,618.31,
4094,01-02-2017,Central Bank of India,416803,17540.01,
4095,01-02-2017,Citi Bank,834399,126512.58,
4096,01-02-2017,City Union Bank,277923,19554.76,
4097,01-02-2017,Corporation Bank,173442,19879.13,
4098,01-02-2017,DBS Bank India,470714,18168.55,
4099,01-02-2017,Dena Bank,19394,1794.46,
4100,01-02-2017,Development Credit Bank,49693,5992.82,
4101,01-02-2017,Dhanlaxmi Bank,19177,1886,
4102,01-02-2017,Dombivli Nagrik Co-operative Bank,17572,1082.7,
4103,01-02-2017,Equitas Small Finance Bank,1216,60.39,
4104,01-02-2017,Federal Bank,1187744,87587.03,
4105,01-02-2017,Greater Bombay Co-operative Bank,25879,1931.71,
4106,01-02-2017,HDFC Bank,25579118,1489836.67,
4107,01-02-2017,HSBC,10977,4242.33,
4108,01-02-2017,ICICI Bank,14634542,3751373.28,
4109,01-02-2017,IDBI Bank,43740,2303.64,
4110,01-02-2017,Indian Bank,1114555,67029.97,
4111,01-02-2017,Indian Overseas Bank,504543,99237.27,
4112,01-02-2017,IndusInd Bank,2301981,305518.65,
4113,01-02-2017,Jammu and Kashmir Bank,98156,6842.37,
4114,01-02-2017,Janta Co-operative Bank Pune,1989,170.84,
4115,01-02-2017,JP Morgan Chase Bank,8,35.5,
4116,01-02-2017,Karnataka Bank,419400,40164.44,
4117,01-02-2017,Karur Vysya Bank,636618,79376.44,
4118,01-02-2017,Kerala Gramin Bank,31088,3082.73,
4119,01-02-2017,Kotak Mahindra Bank,4025632,526250.88,
4120,01-02-2017,Lakshmi Vilas Bank,143939,15099.72,
4121,01-02-2017,Mehsana Urban Co-operative Bank,1086,237.17,
4122,01-02-2017,Nainital Bank,76,2.44,
4123,01-02-2017,NKGSB Co-operative Bank,5575,431.48,
4124,01-02-2017,Oriental Bank of Commerce,74724,7108.85,
4125,01-02-2017,Pallavan Grama Bank,633,2.1,
4126,01-02-2017,Pragathi Krishna Gramin Bank,27356,2688.02,
4127,01-02-2017,Priyadarshani Nagari Co-operative Bank Jalna,25,0.25,
4128,01-02-2017,Punjab and Maharashtra Co-operative Bank,65744,5191.42,
4129,01-02-2017,Punjab and Sindh Bank,129843,7662.13,
4130,01-02-2017,Punjab National Bank,716328,82636.97,
4131,01-02-2017,Rajaram Bapu Co-operative Bank,1169,146.51,
4132,01-02-2017,RBL Bank,81320,10091.82,
4133,01-02-2017,Royal Bank of Scotland N.V.,0,0,
4134,01-02-2017,Saraswat Co-operative Bank,147479,9556.27,
4135,01-02-2017,Sardar Bhiladwala Pardi Peoples Co-operative Bank,31,3.85,
4136,01-02-2017,South Indian Bank,437149,31066.18,
4137,01-02-2017,Standard Chartered Bank,0,0,
4138,01-02-2017,State Bank of Bikaner and Jaipur,155954,5192.44,
4139,01-02-2017,State Bank of Hyderabad,360368,14338,
4140,01-02-2017,State Bank of India,19056253,4047118.57,
4141,01-02-2017,State Bank of Mysore,99849,4178.35,
4142,01-02-2017,State Bank of Patiala,15787,463.58,
4143,01-02-2017,State Bank of Travancore,150405,5474.95,
4144,01-02-2017,Syndicate Bank,936272,54194.64,
4145,01-02-2017,Tamilnad Mercantile Bank,129183,8078.47,
4146,01-02-2017,Thane Janata Co-operative Bank,41528,3991.87,
4147,01-02-2017,Ajara Urban Co-operative Bank,2,0,
